[18:05:18] [MAIN] Target: getscreen.exe -> svchost.exe | PID: 7360
[18:05:18] [MAIN] Shared memory created
[18:05:18] [THREAD] Injection thread started
[18:05:18] [MAIN] DLL path: C:\Users\Stranger\Desktop\ProcessHider\DLL_Injector\ProcessHider.dll
[18:13:10] [+] Injected PID 20120 (TrustedInstaller.exe)
[18:13:10] [+] Injected PID 15940 (svchost.exe)
[18:13:11] [+] Injected PID 10384 (TiWorker.exe)
[18:13:11] [+] Injected PID 18288 (OfficeC2RClient.exe)
[18:13:11] [+] Injected PID 8120 (svchost.exe)
[18:13:11] [+] Injected PID 13464 (svchost.exe)
[18:13:13] [+] Injected PID 12808 (svchost.exe)
[18:13:13] [+] Injected PID 4784 (svchost.exe)
[18:13:16] [+] Injected PID 20016 (wps.exe)
[18:13:16] [+] Injected PID 5624 (smartscreen.exe)
[18:13:16] [+] Injected PID 5600 (wpscenter.exe)
[18:13:17] [+] Injected PID 13572 (wps.exe)
[18:13:17] [+] Injected PID 13192 (wps.exe)
[18:13:18] [+] Injected PID 1932 (dllhost.exe)
[18:13:38] [+] Injected PID 18424 (svchost.exe)
[18:13:42] [+] Injected PID 20096 (WMIC.exe)
[18:14:03] [+] Injected PID 4876 (WMIC.exe)
[18:14:13] [+] Injected PID 15596 (WMIC.exe)
[18:14:22] [+] Injected PID 10596 (WMIC.exe)
[18:14:23] [+] Injected PID 2604 (conhost.exe)
[18:14:43] [+] Injected PID 16880 (WMIC.exe)
[18:14:53] [+] Injected PID 9928 (WMIC.exe)
[18:15:13] [+] Injected PID 9928 (WMIC.exe)
[18:15:22] [+] Injected PID 13224 (WMIC.exe)
[18:15:43] [+] Injected PID 17404 (WMIC.exe)
[18:16:03] [+] Injected PID 6356 (WMIC.exe)
[18:16:03] [+] Injected PID 19744 (conhost.exe)
[18:16:04] [+] Injected PID 20252 (svchost.exe)
[18:16:07] [+] Injected PID 2536 (WmiApSrv.exe)
[18:16:13] [+] Injected PID 5596 (WMIC.exe)
[18:16:22] [+] Injected PID 4448 (WMIC.exe)
[18:16:23] [+] Injected PID 9928 (conhost.exe)
[18:16:30] [+] Injected PID 8404 (docker.exe)
[18:17:19] [+] Injected PID 4660 (docker.exe)
[18:17:22] [+] Injected PID 14988 (WMIC.exe)
[18:17:32] [+] Injected PID 14484 (SearchProtocolHost.exe)
[18:18:13] [+] Injected PID 10328 (WMIC.exe)
[18:18:33] [+] Injected PID 2536 (WMIC.exe)
[18:18:43] [+] Injected PID 19936 (WMIC.exe)
[18:19:03] [+] Injected PID 4336 (WMIC.exe)
